Date,Open,High,Low,Close,Volume
12-Apr-01,7.94,8.50,7.58,8.48,33863000
11-Apr-01,8.50,8.62,7.60,7.93,34059600
10-Apr-01,8.02,8.46,7.58,8.01,39460200
9-Apr-01,7.91,8.04,7.47,7.82,18265800
6-Apr-01,7.62,7.91,7.12,7.41,29292800
5-Apr-01,7.56,7.94,7.31,7.62,50188400
4-Apr-01,5.94,6.66,5.88,6.25,29777000
3-Apr-01,6.78,6.84,5.66,5.69,29501400
2-Apr-01,7.69,7.88,6.72,7.00,18622200
30-Mar-01,7.50,8.22,7.19,7.88,19254800
29-Mar-01,7.44,7.62,7.12,7.50,17505400
28-Mar-01,7.69,7.72,7.25,7.47,17849000
27-Mar-01,7.22,7.88,7.12,7.78,20864400
26-Mar-01,7.56,7.56,7.09,7.09,12026000
23-Mar-01,7.69,7.79,6.97,7.22,17826200
22-Mar-01,7.03,7.47,6.77,7.44,19932800
21-Mar-01,6.97,7.25,6.75,6.84,14862400
20-Mar-01,7.62,7.81,6.88,6.97,22718800
19-Mar-01,7.03,7.56,6.84,7.47,16358200
16-Mar-01,7.31,7.53,6.75,6.78,23270600
15-Mar-01,7.94,8.06,7.47,7.50,16005200
14-Mar-01,7.69,8.00,7.47,7.66,20933200
13-Mar-01,8.38,8.60,7.81,8.03,28634400
12-Mar-01,8.12,8.75,8.05,8.19,32150800
9-Mar-01,8.60,8.66,8.22,8.50,27771200
8-Mar-01,8.53,8.94,8.12,8.84,17651200
7-Mar-01,10.98,11.00,10.41,10.50,4330400
6-Mar-01,11.75,12.22,11.12,11.19,20417200
5-Mar-01,11.25,11.44,10.84,11.09,17326400
2-Mar-01,11.46,11.88,10.81,10.84,20844400
1-Mar-01,11.78,12.25,11.09,12.22,20636600
28-Feb-01,11.84,12.56,11.53,11.91,20347000
27-Feb-01,12.56,12.81,11.69,11.72,19750400
26-Feb-01,12.94,12.97,11.72,12.88,24135400
23-Feb-01,12.09,12.75,11.44,12.72,27763200
22-Feb-01,13.28,13.88,11.81,12.00,45599600
21-Feb-01,13.09,14.12,12.94,13.06,23149800
20-Feb-01,14.47,14.94,13.06,13.28,25692800
16-Feb-01,14.66,15.00,13.88,14.09,18747200
15-Feb-01,14.50,16.25,14.50,15.66,40349600
14-Feb-01,13.72,14.47,12.88,14.25,21947400
13-Feb-01,14.47,14.88,13.50,13.56,21489000
12-Feb-01,14.16,15.00,13.84,14.25,17874800
9-Feb-01,15.03,15.25,13.88,13.97,22625600
8-Feb-01,16.84,16.94,14.94,15.09,27698800
7-Feb-01,17.56,17.84,16.31,16.72,19326000
6-Feb-01,17.59,18.25,17.06,18.19,20455000
5-Feb-01,16.34,18.00,16.03,17.53,21662600
2-Feb-01,18.25,18.31,16.38,16.50,21518400
